"animal_type","month","year","intake_type","outcome_type","chip_status","time_at_shelter"
"DOG",12,2016,"OWNER SURRENDER","ADOPTION","SCAN CHIP",16
"DOG",8,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",9
"DOG",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",35
"CAT",8,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",12
"DOG",12,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",12
"DOG",4,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"CAT",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",14
"DOG",3,2017,"STRAY","ADOPTION","SCAN NO CHIP",23
"DOG",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",2,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",1
"DOG",3,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",5,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",1
"DOG",11,2016,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"DOG",1,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",1
"DOG",8,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",3
"DOG",6,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",6
"DOG",6,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",5
"DOG",10,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",1
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",1
"DOG",8,2017,"STRAY","ADOPTION","OTHER",6
"DOG",7,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",11,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",5
"DOG",6,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",3,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",1
"DOG",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",11,2016,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",12
"CAT",8,2017,"STRAY","ADOPTION","SCAN NO CHIP",11
"CAT",3,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",5
"DOG",1,2017,"STRAY","ADOPTION","SCAN NO CHIP",25
"DOG",6,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",6,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",2
"DOG",7,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",1
"CAT",7,2017,"OWNER SURRENDER","EUTHANIZED","OTHER",1
"DOG",6,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",6,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",1
"DOG",11,2016,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",9
"DOG",5,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",10
"DOG",4,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",1
"DOG",4,2017,"STRAY","RETURNED TO OWNER","OTHER",0
"CAT",1,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",11
"DOG",3,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",1
"DOG",6,2017,"CONFISCATED","EUTHANIZED","SCAN CHIP",68
"DOG",7,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",1
"DOG",4,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"CAT",9,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"DOG",12,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",3
"DOG",6,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",0
"DOG",8,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",5
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",14
"DOG",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",17
"DOG",8,2017,"STRAY","ADOPTION","SCAN NO CHIP",17
"DOG",1,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",1
"DOG",4,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",16
"DOG",9,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",3
"DOG",9,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",3
"DOG",11,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",10,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",15
"DOG",4,2017,"CONFISCATED","RETURNED TO OWNER","SCAN NO CHIP",11
"DOG",12,2016,"OWNER SURRENDER","ADOPTION","SCAN CHIP",8
"DOG",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",6
"OTHER",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"CAT",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"CAT",10,2016,"STRAY","EUTHANIZED","OTHER",0
"DOG",2,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"DOG",8,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
"DOG",3,2017,"STRAY","ADOPTION","SCAN NO CHIP",6
"CAT",9,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",7,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"CAT",6,2017,"STRAY","OTHER","SCAN NO CHIP",5
"DOG",8,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",3,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",7
"CAT",11,2016,"STRAY","ADOPTION","SCAN NO CHIP",18
"DOG",8,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",7,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",2,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",12,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",5
"DOG",6,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",5
"DOG",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",6,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"DOG",3,2017,"STRAY","OTHER","SCAN NO CHIP",8
"DOG",2,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",32
"DOG",7,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",5
"DOG",11,2016,"STRAY","ADOPTION","SCAN NO CHIP",4
"CAT",1,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",4,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"CAT",2,2017,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",8,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"CAT",7,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"DOG",6,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",6
"DOG",8,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",5,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",0
"DOG",12,2016,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",3,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",40
"CAT",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",11,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",2,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",16
"DOG",2,2017,"STRAY","ADOPTION","SCAN CHIP",39
"CAT",3,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"DOG",9,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"DOG",3,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",2
"CAT",7,2017,"STRAY","OTHER","SCAN NO CHIP",9
"DOG",3,2017,"OWNER SURRENDER","RETURNED TO OWNER","SCAN NO CHIP",11
"DOG",8,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",10,2016,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"DOG",5,2017,"STRAY","RETURNED TO OWNER","OTHER",0
"CAT",4,2017,"CONFISCATED","RETURNED TO OWNER","SCAN CHIP",1
"CAT",9,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",9
"CAT",8,2017,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",12,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",1
"DOG",12,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",3,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",8
"CAT",7,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",7,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",2
"DOG",4,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",11,2016,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",15
"CAT",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",10,2016,"CONFISCATED","RETURNED TO OWNER","SCAN CHIP",1
"DOG",3,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",2,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",4,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",8
"CAT",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",9,2017,"STRAY","EUTHANIZED","OTHER",4
"DOG",10,2016,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",1
"DOG",8,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",4
"DOG",10,2016,"STRAY","EUTHANIZED","SCAN CHIP",14
"DOG",2,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",8,2017,"STRAY","ADOPTION","SCAN CHIP",3
"DOG",1,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",11
"DOG",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",11
"DOG",11,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",6
"DOG",7,2017,"STRAY","ADOPTION","SCAN CHIP",19
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",11,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",4,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",18
"DOG",8,2017,"STRAY","ADOPTION","SCAN NO CHIP",10
"DOG",4,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",9,2017,"STRAY","OTHER","SCAN NO CHIP",6
"DOG",8,2017,"STRAY","ADOPTION","SCAN NO CHIP",15
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",11,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",8
"DOG",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",13
"DOG",8,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",17
"DOG",11,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"DOG",9,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",1
"CAT",7,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",6
"DOG",11,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",3,2017,"OWNER SURRENDER","RETURNED TO OWNER","SCAN NO CHIP",1
"DOG",9,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",4,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",4
"DOG",9,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",1,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",8,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",2
"CAT",9,2017,"STRAY","EUTHANIZED","OTHER",0
"DOG",12,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",8
"DOG",12,2016,"STRAY","RETURNED TO OWNER","SCAN CHIP",5
"CAT",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",12
"CAT",3,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",2
"DOG",11,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",5
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",6,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",19
"CAT",11,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",8,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",11,2016,"STRAY","ADOPTION","SCAN NO CHIP",4
"CAT",8,2017,"STRAY","OTHER","SCAN NO CHIP",2
"DOG",7,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",2,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",3,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",2
"DOG",2,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",5
"DOG",9,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
"DOG",4,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",7,2017,"OWNER SURRENDER","RETURNED TO OWNER","SCAN CHIP",1
"CAT",7,2017,"STRAY","OTHER","SCAN NO CHIP",4
"DOG",10,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",10
"DOG",12,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",14
"DOG",4,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",6,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",2
"CAT",7,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",6
"DOG",6,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",12,2016,"STRAY","ADOPTION","OTHER",6
"CAT",4,2017,"STRAY","OTHER","SCAN NO CHIP",1
"DOG",2,2017,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",5,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"CAT",9,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",9
"DOG",2,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",18
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",3,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"CAT",4,2017,"STRAY","OTHER","SCAN NO CHIP",1
"DOG",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",10
"DOG",9,2017,"STRAY","RETURNED TO OWNER","OTHER",0
"DOG",11,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",6
"DOG",1,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",15
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",6
"DOG",12,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",9
"DOG",2,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",9
"CAT",9,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"CAT",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",6,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",6
"DOG",5,2017,"CONFISCATED","RETURNED TO OWNER","SCAN NO CHIP",11
"DOG",11,2016,"STRAY","ADOPTION","OTHER",5
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",6
"CAT",7,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",2
"DOG",3,2017,"CONFISCATED","EUTHANIZED","SCAN NO CHIP",12
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",10,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",2
"DOG",6,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",8,2017,"CONFISCATED","RETURNED TO OWNER","SCAN NO CHIP",13
"DOG",10,2016,"STRAY","EUTHANIZED","SCAN CHIP",0
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",12
"DOG",1,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
"DOG",4,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"CAT",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"CAT",7,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",7
"DOG",5,2017,"CONFISCATED","RETURNED TO OWNER","SCAN CHIP",0
"DOG",4,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",2,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",11,2016,"STRAY","RETURNED TO OWNER","SCAN CHIP",3
"DOG",11,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",7,2017,"OWNER SURRENDER","RETURNED TO OWNER","SCAN CHIP",0
"DOG",8,2017,"CONFISCATED","RETURNED TO OWNER","SCAN NO CHIP",12
"DOG",10,2016,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",5
"DOG",3,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"DOG",6,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",1,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",11
"DOG",1,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"CAT",6,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",7,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",23
"CAT",11,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",6,2017,"CONFISCATED","RETURNED TO OWNER","SCAN CHIP",13
"DOG",8,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",7
"DOG",8,2017,"STRAY","EUTHANIZED","OTHER",7
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",11
"DOG",8,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",2,2017,"STRAY","ADOPTION","SCAN NO CHIP",6
"DOG",6,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",12,2016,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",2
"CAT",2,2017,"STRAY","ADOPTION","OTHER",6
"DOG",2,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",1
"DOG",1,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",2,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",10
"CAT",4,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"CAT",4,2017,"STRAY","OTHER","SCAN NO CHIP",0
"DOG",11,2016,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",1
"DOG",7,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",9,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",2,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",2,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"DOG",9,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"CAT",4,2017,"STRAY","OTHER","SCAN NO CHIP",1
"DOG",10,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",2,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"DOG",8,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",5
"DOG",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",3,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",0
"DOG",12,2016,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"CAT",10,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"CAT",8,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",8,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"DOG",10,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",7,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",8
"DOG",4,2017,"STRAY","EUTHANIZED","SCAN CHIP",17
"CAT",10,2016,"STRAY","EUTHANIZED","OTHER",0
"DOG",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",10
"DOG",6,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"CAT",10,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",32
"DOG",9,2017,"STRAY","RETURNED TO OWNER","OTHER",0
"CAT",7,2017,"OWNER SURRENDER","ADOPTION","OTHER",27
"DOG",3,2017,"OWNER SURRENDER","OTHER","SCAN NO CHIP",0
"CAT",5,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"CAT",2,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",2
"DOG",11,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",2
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",22
"DOG",1,2017,"STRAY","ADOPTION","SCAN NO CHIP",19
"CAT",4,2017,"OWNER SURRENDER","EUTHANIZED","OTHER",15
"DOG",7,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",2
"CAT",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",7
"DOG",4,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",10,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"DOG",4,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",2
"DOG",7,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",5
"DOG",5,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",5
